timestamp,open,high,low,close,adjusted close,volume,dividend amount
2019-10-18,295.9300,300.2400,295.5700,297.9700,275.6540,249854027,0.0000
2019-10-11,293.4700,298.7400,288.4900,296.2800,274.0906,381818226,0.0000
2019-10-04,295.9700,298.4600,284.8200,294.3500,272.3051,418528028,0.0000
2019-09-27,297.5500,299.8400,293.6900,295.4000,273.2765,360912367,0.0000
2019-09-20,299.8400,302.6300,297.4100,298.2800,275.9408,349452658,1.3836
2019-09-13,299.1400,302.4600,295.9700,301.0900,277.2543,311392980,0.0000
2019-09-06,290.5700,298.8300,289.2700,298.0500,274.4549,248600633,0.0000
2019-08-30,287.2700,294.2400,285.2500,292.4500,269.2982,320605162,0.0000
2019-08-23,292.1900,293.9300,283.4700,284.8500,262.2999,356073778,0.0000
2019-08-16,289.9600,294.1500,282.3900,288.8500,265.9832,480799656,0.0000
2019-08-09,288.0900,293.6200,281.7200,291.6200,268.5340,621473258,0.0000
2019-08-02,301.8800,302.0100,290.9000,292.6200,269.4548,447616940,0.0000
2019-07-26,297.6100,302.2300,297.0400,302.0100,278.1014,236036760,0.0000
2019-07-19,301.1300,301.1300,296.7000,297.1700,273.6446,241363593,0.0000
2019-07-12,297.0100,300.7300,295.4800,300.6500,276.8491,236782500,0.0000
2019-07-05,296.6800,298.8200,294.3300,298.4600,274.8325,233188240,0.0000
2019-06-28,294.2300,294.5800,290.3500,293.0000,269.8047,280902456,0.0000
2019-06-21,289.5200,296.3100,289.1800,294.0000,270.7255,403194392,1.4316
2019-06-14,289.3700,291.4000,287.8200,289.2600,265.0701,267806562,0.0000
2019-06-07,275.3100,288.8500,273.0900,287.6500,263.5947,388532138,0.0000
2019-05-31,283.0900,284.1500,275.2400,275.2700,252.2500,324388845,0.0000
2019-05-24,284.0600,286.9300,280.5700,282.7800,259.1320,313209109,0.0000
2019-05-17,282.4200,289.2100,279.9300,285.8400,261.9361,455352831,0.0000
2019-05-10,289.2500,293.3100,282.3000,288.1000,264.0071,559396661,0.0000
2019-05-03,293.5100,294.9500,289.5200,294.0300,269.4412,331555173,0.0000
2019-04-26,289.1700,293.4900,289.0700,293.4100,268.8730,251486972,0.0000
2019-04-18,290.2400,291.4300,288.6600,290.0200,265.7665,228726690,0.0000
2019-04-12,288.1000,290.4700,286.7000,290.1600,265.8948,297131032,0.0000
2019-04-05,284.7000,288.6300,284.4000,288.5700,264.4378,293550732,0.0000
2019-03-29,278.8700,282.8400,277.6400,282.4800,258.8570,364351190,0.0000
2019-03-22,281.5500,285.1800,279.1800,279.2500,255.8972,439286798,0.0000
2019-03-15,275.2600,282.3800,275.2300,281.3100,257.7849,374232925,1.2331
2019-03-08,281.6000,281.8700,272.4200,274.4600,250.4101,421329855,0.0000
2019-03-01,280.7300,281.3100,277.4800,280.4200,255.8478,330945211,0.0000
2019-02-22,276.4800,279.3600,276.3500,279.1400,254.6800,278060914,0.0000
2019-02-15,271.2000,277.4100,270.0300,277.3700,253.0651,385891903,0.0000
2019-02-08,270.1100,273.4400,267.8300,270.4700,246.7697,369916231,0.0000
2019-02-01,263.3900,271.2000,261.7900,270.0600,246.3956,434018257,0.0000
2019-01-25,264.8200,266.7000,260.6600,265.7800,242.4907,357648967,0.0000
2019-01-18,256.8600,266.9800,256.4100,266.4600,243.1111,457771946,0.0000
2019-01-11,252.6900,259.1600,251.6900,258.9800,236.2865,471340274,0.0000
2019-01-04,249.5600,253.1100,243.6700,252.3900,230.2740,557994095,0.0000
2018-12-28,239.0400,251.4000,233.7600,247.7500,226.0406,705164479,0.0000
2018-12-21,259.4000,260.6500,239.9800,240.7000,219.6083,1022399124,1.4354
2018-12-14,263.3700,269.0000,258.6200,260.4700,236.2372,584550810,0.0000
2018-12-07,280.2800,280.4000,262.4400,263.5700,239.0488,646208066,0.0000
2018-11-30,265.7800,276.2800,265.3400,275.6500,250.0049,463664046,0.0000
2018-11-23,273.0500,273.3800,263.0700,263.2500,238.7586,357454638,0.0000
2018-11-16,277.1900,277.4600,267.0100,273.7300,248.2635,584955592,0.0000
2018-11-09,272.4400,281.2200,271.3500,277.7600,251.9186,392857922,0.0000
2018-11-02,268.8000,275.2300,259.8500,271.8900,246.5947,668290565,0.0000
2018-10-26,277.0000,277.3600,262.2900,265.3300,240.6450,746211369,0.0000
2018-10-19,275.5500,281.1500,274.3000,276.2500,250.5491,605604697,0.0000
2018-10-12,287.0500,288.8600,270.3600,275.9500,250.2770,834839179,0.0000
2018-10-05,292.1100,293.2100,286.2200,287.8200,261.0427,391529366,0.0000
2018-09-28,291.3400,292.2400,289.4100,290.7200,263.6729,306860196,0.0000
2018-09-21,290.8200,293.9400,289.0300,291.9900,264.8247,385095314,1.3226
2018-09-14,288.7400,291.2700,286.9800,290.8800,262.6284,266646460,0.0000
2018-09-07,289.8400,290.2100,286.7100,287.6000,259.6670,269481491,0.0000
2018-08-31,288.8600,291.7400,288.6800,290.3100,262.1138,292871702,0.0000
2018-08-24,285.5700,287.6700,285.0600,287.5100,259.5857,258765056,0.0000
2018-08-17,283.4700,285.5600,280.1600,285.0600,257.3737,348086695,0.0000
2018-08-10,283.6400,286.0100,282.3600,283.1600,255.6582,237505104,0.0000
2018-08-03,281.5100,283.6600,279.1600,283.6000,256.0555,303528076,0.0000
2018-07-27,279.4500,284.3700,279.0600,281.4200,254.0872,328660099,0.0000
2018-07-20,279.6400,281.1800,278.4100,279.6800,252.5162,288894849,0.0000
2018-07-13,276.5500,279.9300,276.5000,279.5900,252.4349,287931618,0.0000
2018-07-06,269.5100,275.8400,269.2400,275.4200,248.6699,229161460,0.0000
2018-06-29,273.4400,273.8700,268.4900,271.2800,244.9320,485741044,0.0000
2018-06-22,275.4900,276.7200,273.5300,274.7400,248.0560,331907984,0.0000
